Month,Operacion,Clase,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,lbs,Costo_Tot_Manufactura
1.0,1,2,85,185,75.0,248.0,975.0,1,18600.17,47.37,19.08,165.3375,3553.01
1.0,1,2,101,131,4750.0,43.5,10830.0,1,206605.05,34.14,19.08,10471.375,162187.33
1.0,1,2,101,131,20000.0,43.5,45600.0,1,869916.0,34.14,19.08,44090.0,682894.0
1.0,1,2,101,131,250.0,43.5,570.0,1,10873.95,34.14,19.08,551.125,8536.18
1.0,1,2,127,18,1088.0,35.86,2045.44,1,39021.01,33.83,19.08,2398.496,36808.02
1.0,1,2,127,127,1600.0,35.86,3008.0,1,57383.84,33.99,19.08,3527.2,54391.04
1.0,1,2,127,18,535.0,34.91,979.05,1,18677.44,33.83,19.08,1179.4075,18099.53
1.0,1,2,52,111,200.0,51.46,10292.0,0,10292.0,59.18,19.08,440.9,11836.4
1.0,1,2,52,222,25.0,83.0,2075.0,0,2075.0,61.86,19.08,55.1125,1546.61
1.0,1,2,52,222,25.0,83.0,2075.0,0,2075.0,61.86,19.08,55.1125,1546.61
1.0,1,2,6,13,455.0,189.66,4559.1,1,86294.66,197.11,18.93,1003.0475,89685.73
1.0,1,2,6,13,182.0,189.66,1823.64,1,34517.87,197.11,18.93,401.219,35874.29
1.0,1,2,6,102,25.0,357.36,472.0,1,8934.02,233.84,18.93,55.1125,5846.06
1.0,1,2,6,102,50.0,357.36,944.0,1,17868.03,233.84,18.93,110.225,11692.12
1.0,1,2,6,86,1500.0,130.79,10365.0,1,196188.75,176.02,18.93,3306.75,264033.75
1.0,1,2,6,144,50.0,229.03,605.0,1,11451.44,188.37,18.93,110.225,9418.31
1.0,1,2,6,43,25.0,396.73,524.0,1,9918.27,229.65,18.93,55.1125,5741.23
1.0,1,2,6,143,200.0,139.69,1476.0,1,27937.72,94.23,18.93,440.9,18846.18
1.0,1,2,6,134,500.0,92.75,2450.0,1,46373.6,71.63,18.93,1102.25,35815.1
1.0,1,2,6,126,250.0,200.26,2645.0,1,50064.55,258.35,18.93,551.125,64588.13
1.0,1,2,6,70,100.0,483.23,2553.0,1,48323.18,224.75,18.93,220.45,22475.42
1.0,1,2,5,133,50.0,179.25,473.5,1,8962.41,104.03,18.93,110.225,5201.53
1.0,1,2,5,133,50.0,179.25,473.5,1,8962.41,104.03,18.93,110.225,5201.53
1.0,1,2,146,133,500.0,0.0,0.0,1,0.0,68.38,18.93,1102.25,34187.7
1.0,1,2,47,107,400.0,123.24,49296.0,0,49296.0,124.02,18.93,881.8,49609.36
1.0,1,2,47,107,100.0,123.24,12324.0,0,12324.0,124.02,18.93,220.45,12402.34
1.0,1,2,60,167,25.0,157.1,207.5,1,3927.56,142.91,18.93,55.1125,3572.64
1.0,1,2,60,167,25.0,157.1,207.5,1,3927.56,142.91,18.93,55.1125,3572.64
1.0,1,2,5,130,200.0,130.79,1382.0,1,26158.5,112.95,18.93,440.9,22590.2
1.0,1,2,118,125,25.0,413.7,10342.5,0,10342.5,217.62,18.93,55.1125,5440.61
1.0,1,2,12,107,150.0,204.23,1618.5,1,30634.97,111.09,18.93,330.675,16662.96
1.0,1,2,6,110,50.0,123.03,325.0,1,6151.6,121.44,18.93,110.225,6072.21
1.0,1,2,6,110,100.0,123.03,650.0,1,12303.2,121.44,18.93,220.45,12144.41
1.0,1,2,6,107,325.0,163.16,2801.5,1,53026.81,128.33,18.93,716.4625,41708.13
1.0,1,2,133,219,3925.0,67.57,14012.25,1,265224.03,52.04,18.93,8652.662,204253.08
1.0,1,2,6,160,250.0,120.57,1592.5,1,30142.85,71.4,18.93,551.125,17851.0
1.0,1,2,6,135,22.0,208.4,242.22,1,4584.74,90.32,18.93,48.499,1987.07
1.0,1,2,6,135,25.0,208.4,275.25,1,5209.93,90.32,18.93,55.1125,2258.03
1.0,1,2,60,102,100.0,177.36,937.0,1,17735.54,109.45,18.93,220.45,10945.06
1.0,1,2,60,102,75.0,177.36,702.75,1,13301.66,109.45,18.93,165.3375,8208.8
1.0,1,2,60,102,1075.0,177.36,10072.75,1,190657.06,109.45,18.93,2369.8374,117659.4
1.0,1,2,101,131,4725.0,43.16,10773.0,1,203911.16,34.14,18.93,10416.263,161333.7
1.0,1,2,101,131,275.0,43.16,627.0,1,11867.85,34.14,18.93,606.2375,9389.79
1.0,1,2,118,139,50.0,208.78,10439.0,0,10439.0,199.69,18.93,110.225,9984.65
1.0,1,2,6,24,50.0,182.84,483.0,1,9142.23,71.4,18.93,110.225,3569.78
1.0,1,2,6,25,25.0,357.17,471.75,1,8929.29,233.89,18.93,55.1125,5847.15
1.0,1,2,6,141,25.0,182.84,241.5,1,4571.11,213.34,18.93,55.1125,5333.41
1.0,1,2,118,112,2500.0,54.63,136575.0,0,136575.0,33.43,18.93,5511.25,83576.25
1.0,1,2,118,149,200.0,111.37,22274.0,0,22274.0,69.78,18.93,440.9,13956.52
1.0,1,2,118,54,100.0,85.85,8585.0,0,8585.0,56.49,18.93,220.45,5648.69
1.0,1,2,6,170,565.0,354.33,10576.8,1,200197.69,253.36,18.93,1245.5425,143147.09
1.0,1,2,6,170,226.0,354.33,4230.72,1,80079.08,253.36,18.93,498.217,57258.84
1.0,0,2,101,131,4750.0,43.16,10830.0,1,204990.05,34.14,18.93,10471.375,162187.33
1.0,0,2,101,131,250.0,43.16,570.0,1,10788.95,34.14,18.93,551.125,8536.18
1.0,1,2,69,131,1000.0,51.48,2720.0,1,51484.2,34.14,18.93,2204.5,34144.7
1.0,1,2,6,53,1000.0,77.68,4080.0,1,77675.4,64.88,19.04,2204.5,64880.1
1.0,1,2,16,117,1000.0,102.23,5370.0,1,102234.6,74.97,19.04,2204.5,74968.3
1.0,1,2,16,219,7344.0,57.88,22325.76,1,425039.88,51.79,19.04,16189.848,380336.94
1.0,1,2,66,133,1000.0,169.97,8980.0,1,169973.41,133.89,18.93,2204.5,133885.5
1.0,1,2,6,102,25.0,359.44,472.0,1,8985.98,233.84,19.04,55.1125,5846.06
1.0,1,2,6,102,75.0,359.44,1416.0,1,26957.95,233.84,19.04,165.3375,17538.17
1.0,1,2,6,72,175.0,209.42,1925.0,1,36648.34,142.26,19.04,385.7875,24895.71
1.0,1,2,6,72,225.0,209.42,2475.0,1,47119.3,142.26,19.04,496.0125,32008.77
1.0,1,2,6,72,100.0,209.42,1100.0,1,20941.91,142.26,19.04,220.45,14226.12
1.0,1,2,6,219,113.0,83.39,494.94,1,9422.72,67.31,19.04,249.1085,7605.95
1.0,1,2,6,219,1695.0,83.39,7424.1,1,141340.8,67.31,19.04,3736.6274,114089.26
1.0,1,2,6,112,100.0,198.38,1042.0,1,19837.7,76.0,19.04,220.45,7600.09
1.0,1,2,140,133,5900.0,296.44,1748996.0,0,1748996.0,60.62,19.04,13006.55,357675.69
1.0,1,2,34,105,125.0,90.43,595.0,1,11303.34,69.73,19.0,275.5625,8715.93
1.0,1,2,60,140,200.0,151.03,1590.0,1,30205.54,97.29,19.0,440.9,19457.68
1.0,1,2,125,133,500.0,128.1,64050.0,0,64050.0,140.51,19.0,1102.25,70257.1
1.0,1,2,106,116,25.0,372.92,490.75,1,9322.88,240.95,19.0,55.1125,6023.67
1.0,1,2,2,118,100.0,23.47,2347.0,0,2347.0,203.85,19.0,220.45,20385.28
1.0,1,2,5,107,475.0,189.78,4745.25,1,90146.45,113.07,19.0,1047.1375,53706.21
1.0,1,2,3,112,50.0,59.46,156.5,1,2973.06,56.44,19.0,110.225,2821.93
1.0,1,2,3,112,4200.0,59.46,13146.0,1,249737.05,56.44,19.0,9258.9,237042.12
1.0,1,2,3,112,7250.0,59.46,22692.5,1,431093.69,56.44,19.0,15982.625,409179.84
1.0,1,2,120,236,300.0,83.16,24948.0,0,24948.0,78.52,19.0,661.35,23554.5
1.0,1,2,154,133,25.0,434.25,10856.25,0,10856.25,164.33,19.0,55.1125,4108.31
1.0,1,2,122,107,50.0,112.84,297.0,1,5642.17,72.9,19.0,110.225,3644.95
1.0,1,2,5,107,50.0,129.75,341.5,1,6487.55,79.2,19.0,110.225,3960.21
1.0,1,2,5,107,275.0,129.75,1878.25,1,35681.5,79.2,19.0,606.2375,21781.16
1.0,1,2,154,140,100.0,380.0,38000.0,0,38000.0,207.18,19.0,220.45,20718.03
1.0,1,2,9,219,250.0,48.44,637.5,1,12110.73,46.63,19.0,551.125,11656.33
1.0,1,2,82,181,150.0,307.75,2430.0,1,46163.19,192.17,19.0,330.675,28825.19
1.0,1,2,82,181,50.0,307.75,810.0,1,15387.73,192.17,19.0,110.225,9608.4
2.0,1,2,77,173,2000.0,69.49,7300.0,1,138983.2,45.82,19.04,4409.0,91639.0
2.0,1,2,127,18,4352.0,35.79,8181.76,1,155770.7,33.83,19.04,9593.984,147232.08
2.0,1,2,127,18,544.0,35.79,1022.72,1,19471.34,33.83,19.04,1199.248,18404.01
2.0,1,2,12,194,272.0,113.47,1621.12,1,30864.17,78.75,19.04,599.624,21420.87
2.0,1,2,60,39,50.0,145.46,382.0,1,7272.82,97.04,19.04,110.225,4852.22
2.0,1,2,60,39,240.0,145.46,1833.6,1,34909.54,97.04,19.04,529.08,23290.66
2.0,1,2,65,17,125.0,626.38,4112.5,1,78297.06,337.66,19.04,275.5625,42207.81
2.0,1,2,12,194,272.0,113.47,1621.12,1,30864.17,78.75,19.04,599.624,21420.87
2.0,1,2,65,191,25.0,492.91,647.25,1,12322.86,417.17,19.04,55.1125,10429.15
2.0,1,2,65,191,21.0,492.91,543.69,1,10351.2,417.17,19.04,46.2945,8760.48
2.0,1,2,33,208,1000.0,115.5,115500.0,0,115500.0,116.06,19.04,2204.5,116060.7
2.0,1,2,33,56,400.0,202.15,80860.0,0,80860.0,163.44,19.04,881.8,65377.36
2.0,1,2,33,56,600.0,202.15,121290.0,0,121290.0,163.44,19.04,1322.7,98066.04
2.0,1,2,103,112,50.0,95.96,252.0,1,4797.78,72.78,19.04,110.225,3639.2
2.0,1,2,127,18,4896.0,35.79,9204.48,1,175242.05,33.83,19.04,10793.232,165636.09
2.0,1,2,14,219,11424.0,60.79,36556.8,1,694476.38,51.79,19.0,25184.207,591635.25
2.0,1,2,14,219,4080.0,60.79,13056.0,1,248027.28,51.79,19.0,8994.36,211298.3
2.0,1,2,65,107,300.0,212.28,3345.0,1,63684.78,118.19,19.04,661.35,35455.65
2.0,1,2,65,118,50.0,499.77,1312.5,1,24988.43,263.12,19.04,110.225,13156.01
2.0,1,2,12,194,136.0,113.47,810.56,1,15432.08,78.75,19.04,299.812,10710.44
2.0,1,2,12,194,68.0,113.47,405.28,1,7716.04,78.75,19.04,149.906,5355.22
2.0,1,2,6,134,50.0,169.45,445.0,1,8472.27,114.15,19.04,110.225,5707.64
2.0,1,2,6,107,25.0,164.11,215.5,1,4102.86,128.33,19.04,55.1125,3208.32
2.0,1,2,6,154,750.0,303.29,11947.5,1,227466.08,107.83,19.04,1653.375,80873.4
2.0,1,2,126,102,100.0,206.76,1086.0,1,20676.14,107.63,19.04,220.45,10763.06
2.0,1,2,126,107,50.0,215.71,566.5,1,10785.48,113.14,19.04,110.225,5656.91
2.0,1,2,126,126,25.0,352.03,462.25,1,8800.69,190.92,19.04,55.1125,4773.1
2.0,1,2,60,102,550.0,178.39,5153.5,1,98116.48,109.45,19.04,1212.475,60197.83
2.0,1,2,72,107,300.0,85.87,1356.0,1,25760.19,76.97,19.0,661.35,23092.26
2.0,1,2,5,134,100.0,171.92,903.0,1,17192.04,130.43,19.04,220.45,13042.68
