Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 107,500.0,88.62,2260.0, USD ,44312.5,MXP,76.97,19.61,2260.0,1102.25,38487.1,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 118,300.0,193.13,2955.0, USD ,57939.57,MXP,158.08,19.61,2955.0,661.35,47423.91,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 125,23.0,100.98,118.45, USD ,2322.48,MXP,84.72,19.61,118.45,50.7035,1948.48,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 130,17.0,134.9,116.96, USD ,2293.27,MXP,93.15,19.61,116.96,37.4765,1583.49,Enero
1.0,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 125,25.0,199.21,254.0, USD ,4980.26,MXP,149.7,19.61,254.0,55.1125,3742.6,Enero
1.0,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,25.0,150.58,192.0, USD ,3764.6,MXP,97.89,19.61,192.0,55.1125,2447.28,Enero
1.0,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,25.0,150.58,192.0, USD ,3764.6,MXP,97.89,19.61,192.0,55.1125,2447.28,Enero
1.0,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,150.0,136.86,1047.0, USD ,20528.85,MXP,56.68,19.61,1047.0,330.675,8501.27,Enero
1.0,01/04/2019,Venta,NAC,27966,Cliente 85,Producto 185,25.0,254.89,325.0, USD ,6372.37,MXP,47.37,19.61,325.0,55.1125,1184.34,Enero
1.0,01/04/2019,Cancelacion,NAC,1560,Cliente 67,Producto 133,0.0,113.72,5800.0, USD ,113722.3,MXP,76.83,19.61,5800.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1571,Cliente 67,Producto 133,0.0,113.72,5800.0, USD ,113722.3,MXP,76.83,19.61,5800.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1570,Cliente 107,Producto 140,0.0,163.92,1672.0, USD ,32783.4,MXP,96.18,19.61,1672.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1570,Cliente 107,Producto 140,0.0,256.07,11754.0, USD ,230464.17,MXP,202.59,19.61,11754.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1570,Cliente 107,Producto 140,0.0,256.07,1306.0, USD ,25607.13,MXP,202.59,19.61,1306.0,0.0,0.0,Enero
1.0,01/04/2019,Cancelacion,NAC,1569,Cliente 78,Producto 134,0.0,6.84,171.0, MXP ,171.0,MXP,75.08,19.61,8.72,0.0,0.0,Enero
