Producto,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
47,1250.0,23855.5,1562500.0,29819376.0,51.7,2755.625,64622.88,2.2041930688880234,-0.5415684880958551,3
48,280.0,909.8199999999999,25347.599999999995,25347.599999999995,943.22,617.2600000000002,26239.96,-0.7104697032305337,0.08542749434524027,0
49,220.0,752.8400000000001,21170.6,21170.6,743.8100000000001,484.99,20369.580000000005,-0.7240919400429823,0.10234506700127076,0
50,320.0,721.7600000000001,28870.4,28870.4,678.9000000000001,705.44,27492.82,-0.7229968396549137,0.10708558070935151,0
51,20411.0,356.68,59692.94,1152145.9900000002,364.55,44996.049399999996,995793.7599999999,-0.35183769536909043,0.42143374275597073,0
52,325.0,2116.04,5102.5,98302.51,1692.46,716.4625,78529.14000000001,-0.6482861611422233,0.006713351459697794,0
53,36900.0,5268.629999999999,150552.0,2902387.2200000007,4367.479999999992,81346.04999999999,2409052.29,0.3677264440905839,0.2740418376402864,0
54,15400.0,6725.690000000001,302684.0,1985883.9699999997,3615.359999999994,33949.30020000001,869898.3299999994,-0.026806283768434025,-0.0993881021502087,0
56,5200.0,1783.41,317770.0,1030298.96,1470.9600000000003,11463.4,849905.6900000001,-0.3961253219804538,0.071122428355709,0
58,139619.0,1471.29,663190.25,12802802.240000002,1217.5799999999997,307790.07940000005,14540276.660000004,3.2357156684893185,2.3660331524131935,3
59,200.0,1287.19,3346.0,64359.55,1091.3,440.9,54565.36,-0.6968162161572736,0.06873265273904297,0
60,125.0,560.68,1907.0,36073.770000000004,224.14,275.5625,14008.18,-0.7531142574215964,0.1416120147103057,0
61,46.0,531.31,1288.0,24440.44,356.45,101.407,16396.88,-0.7505776152584811,0.13447232968869188,0
62,425.0,272.91,5937.25,115986.54,207.53,936.9125,88198.38,-0.7439531762807782,0.1606260196610122,0
63,2496.0,1783.5899999999997,19219.2,369668.48000000004,858.9600000000002,5502.432,178725.44,-0.6320836357400131,0.0964058527982864,0
64,250.0,136.35000000000002,1700.0,10906.57,170.01,551.125,21340.45,-0.765176488594861,0.1619311958442411,0
65,164.0,878.88,1833.7,35144.04,275.68,361.538,11302.86,-0.7433617270680399,0.12710216762041496,0
66,350.0,5990.46,7741.5,149761.74,3094.860000000001,771.5749999999998,77372.28000000001,-0.49805731217168386,-0.2165912934577281,0
67,550.0,5303.099999999999,7436.0,143755.62,2370.6400000000003,1212.4749999999995,64912.95999999997,-0.540755755440424,-0.1486510798259761,0
68,175.0,1485.66,3341.25,64174.46000000001,930.5,385.7875,40637.05,-0.6994162146561316,0.06935142186128194,0
69,350.0,420.19,2439.0,46912.880000000005,203.96999999999997,771.575,23796.58,-0.7530851083690204,0.15106452157804406,0
70,1300.0,16608.45,35513.5,684065.5900000001,7145.350000000004,2865.85,298686.24999999994,-0.016013674174514773,-0.817642995796554,0
71,675.0,3429.44,8190.75,158200.71,3484.479999999999,1488.0374999999995,168105.26999999996,-0.5337964505784845,-0.13438092050684602,0
72,2400.0,6301.490000000002,27147.75,524645.3599999999,3934.9800000000005,5290.800000000001,338035.3299999999,-0.38267567738420416,-0.23799023068687628,0
73,100.0,155.7,816.0,15569.69,65.97,220.45,6597.46,-0.7714284813324893,0.16492125838023827,0
74,200.0,1183.68,4060.0,78555.52,688.95,440.9,45930.64,-0.7136595437682623,0.09480798368073702,0
75,200.0,801.74,2750.0,53317.76,360.15,440.9,24010.550000000003,-0.7391224938363989,0.12637413301043057,0
76,50.0,403.57,525.0,10089.22,93.1,110.225,2327.32,-0.7657459184011671,0.15331241569963563,0
77,50.0,442.0,575.0,11050.1,107.14,110.225,2678.46,-0.7641820398197301,0.15110667116353135,0
78,1523.0,5147.370000000001,12534.33,241274.91,1674.9399999999991,3357.4534999999996,85029.49,-0.5496838009981483,-0.0914699904836243,0
79,525.0,4358.38,6418.5,123810.77999999998,2526.990000000001,1157.3624999999997,73705.89,-0.5592865384944532,-0.12193658658824891,0
80,200.0,206.94,2168.0,41387.12,56.32,440.9,11263.24,-0.7669382663470002,0.16502340033105517,0
81,325.0,254.52999999999997,2132.0,41700.35,155.94,716.4625,25338.82,-0.759432753768984,0.15973570029442535,0
82,3946.0,1414.91,23991.68,464023.83,739.3500000000001,8698.957,242926.31999999995,-0.6162544657744417,0.13677739759999255,0
83,3000.0,207.98000000000002,16200.0,311965.04000000004,100.62,6613.5,150922.8,-0.7002457736951742,0.20200990298290925,0
84,450.0,323.46000000000004,2511.0,48122.13,442.71,992.0250000000001,66405.69,-0.7414528901427957,0.14444148342386504,0
85,5100.0,407.74,36260.0,695465.0499999999,355.68,11242.95,604648.87,-0.5884884331217073,0.22700702752075774,0
86,13740.0,2644.22,94943.4,1816608.6900000002,3520.4,30289.83,2664980.6500000004,-0.03461672165600405,0.1648352198245096,0
87,3574.0,7464.259999999999,66226.22,1270046.77,11779.589999999998,7878.883000000001,2006134.2700000003,0.16636470642873644,-0.6258856983775877,0
88,1275.0,4849.199999999999,18028.5,343886.4700000001,2147.8800000000006,2810.7375,152533.13,-0.5276524008068901,-0.10585417986541962,0
89,700.0,3678.02,11179.0,214071.40999999997,3024.6,1543.1499999999999,176322.98999999996,-0.5388007493310067,-0.11702615400972825,0
90,100.0,329.97,1731.0,32996.84,213.82,220.45,21381.73,-0.758944464377901,0.15089256077010024,0
91,2500.0,64.7,8475.0,161740.25,53.04,5511.25,132596.5,-0.7245494898258111,0.20270477968290915,0
92,75409.0,1383.99,317471.89,6113404.45,1124.8899999999999,166239.13650000002,6244246.350000001,1.1978568925282473,1.2300275150687878,0
93,327.0,6881.469999999999,8985.33,173154.34000000003,3507.85,720.8714999999999,87537.65,-0.45857979545393995,-0.2727889979356687,0
94,295.0,4724.52,6043.2,116338.14,3189.5599999999995,650.3275,78500.2,-0.5288559992933852,-0.17514714319040525,0
95,250.0,2427.71,3173.0,60692.82,2567.14,551.125,64179.07999999999,-0.6141471622549619,-0.05563228078004357,0
96,100.0,228.96,1200.0,22896.0,131.92,220.45,13192.48,-0.7660056044565152,0.15882920946184398,0
97,900.0,205.45999999999998,4761.0,92311.64,109.42,1984.05,49239.09,-0.7498266516691355,0.172041197326078,0
98,26875.0,93.3,57288.75,999103.13,120.35999999999999,59245.9375,1078133.63,-0.3011200412831509,0.5194582829103945,0
99,73800.0,1634.9899999999998,414756.0,8018715.64,881.25,162692.1005,4335580.25,1.1411950734551128,1.1390465867833859,0
100,153250.0,2894.0999999999995,715345.0,13832644.490000002,1645.3200000000004,337839.6255,7858698.17,2.854056088405847,2.1392052793413505,3
101,100.0,656.01,1124.0,21903.67,286.80999999999995,220.45,9641.46,-0.7503380530680882,0.13397560137455192,0
