MONTH,Fecha de la,Ty,Clase,Invoice#, Cliente , Nombre del producto , KG , Precio uni / Venta , Foreign Amount , CurFrm , Revenue , SalesDiv , CurTo , Std RMCost , Std MfgCost , Exchange , SO Std. Cost , T.C. , Dollars , Lbs , COST PESOS , Mes ,,
1,01/04/2019,Venta,NAC,27974,Cliente 72,Producto 125,25,199.2102, 254.00 , USD ," 4,980.26 ",MCO,MXP, 113.35 , 36.35 , 19.6073 ,149.704, 19.61 , 254.00 ,55.1125," 3,742.60 ",Enero,,
1,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,25,150.5841, 192.00 , USD ," 3,764.60 ",MCO,MXP, 66.04 , 31.85 , 19.6073 ,97.8912, 19.61 , 192.00 ,55.1125," 2,447.28 ",Enero,,
1,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,25,150.5841, 192.00 , USD ," 3,764.60 ",MCO,MXP, 66.04 , 31.85 , 19.6073 ,97.8912, 19.61 , 192.00 ,55.1125," 2,447.28 ",Enero,,
1,01/04/2019,Venta,NAC,27967,Cliente 90,Producto 107,150,136.859," 1,047.00 ", USD ," 20,528.85 ",MCO,MXP, 37.34 , 19.34 , 19.6073 ,56.6751, 19.61 ," 1,047.00 ",330.6750," 8,501.27 ",Enero,,
1,01/04/2019,Venta,NAC,27966,Cliente 85,Producto 185,25,254.8949, 325.00 , USD ," 6,372.37 ",MCO,MXP, 33.13 , 14.25 , 19.6073 ,47.3734, 19.61 , 325.00 ,55.1125," 1,184.34 ",Enero,,
1,01/04/2019,Cancelación,NAC,1560,Cliente 67,Producto 133,,113.7223,"-5,800.00 ", USD ,"-113,722.30 ",MCO,MXP, 63.04 , 16.68 , 19.6073 ,76.8328, 19.61 ,"-5,800.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1571,Cliente 67,Producto 133,,113.7223,"-5,800.00 ", USD ,"-113,722.30 ",MCO,MXP, 63.04 , 16.68 , 19.6073 ,76.8328, 19.61 ,"-5,800.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1570,Cliente 107,Producto 140,,163.917,"-1,672.00 ", USD ,"-32,783.40 ",MCO,MXP, 78.45 , 17.29 , 19.6073 ,96.1757, 19.61 ,"-1,672.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1570,Cliente 107,Producto 140,,256.0713,"-11,754.00 ", USD ,"-230,464.17 ",MCO,MXP, 151.47 , 15.98 , 19.6073 ,202.5938, 19.61 ,"-11,754.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1570,Cliente 107,Producto 140,,256.0713,"-1,306.00 ", USD ,"-25,607.13 ",MCO,MXP, 151.47 , 15.98 , 19.6073 ,202.5938, 19.61 ,"-1,306.00 ",0.0000, -   ,Enero,,
