Cliente,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
26,20850.0,1253.5099999999998,79723.0,1543235.4100000004,1013.8600000000004,45963.8249,1244274.7000000002,-0.3934562089830545,-0.14627430787684942,2
27,44150.0,1778.42,165392.25,3201001.7399999998,1519.5700000000004,97328.6751,2798770.79,0.1223267535192645,-0.13169576391786597,2
28,25.0,71.48,91.25,1787.04,45.24,55.1125,1131.0,-0.8599346962663003,-0.15755420345932927,2
29,4550.0,1149.7800000000002,17471.5,337133.2699999999,836.5599999999997,10030.474999999999,269814.58,-0.7431250525996244,-0.16192285501273868,2
30,35114.0,13078.96,234791.75,4516753.770000001,9137.24,77408.81269999998,3878091.1200000006,0.37485197146031485,-0.18484392174544156,2
31,55417.0,12653.350000000002,338048.08,6544176.010000001,10014.059999999998,122166.77650000002,5052630.65,0.8398512967311038,-0.14832090908993245,2
32,800.0,194.55,4380.0,83871.3,127.32,1763.6,55520.43,-0.8392159423634662,-0.15693293126113098,2
33,8941.0,2727.1000000000004,449990.1,1470555.9899999998,2398.88,19710.434499999996,1283633.44,-0.47124330514619645,0.06723217479604719,2
34,2487.0,1324.1,15812.619999999999,306036.31,955.9400000000002,5482.591500000001,238544.8,-0.7698337230517671,-0.1625200499434729,2
35,544.0,2975.05,6919.12,132862.23,1820.08,1199.2479999999998,80578.24,-0.7889220070335047,-0.17698485537428216,2
37,4475.0,1111.65,53557.75,1035193.2600000001,747.19,9865.1374,680126.4,-0.6751824692870307,-0.1419087586565063,2
41,50.0,2440.31,3142.5,61007.72,1298.6399999999999,110.225,32466.14,-0.8148888157874714,-0.17319180519796634,2
42,50.0,224.89,582.0,11244.3,134.62,110.225,6731.11,-0.8560243604240361,-0.15848166991205181,2
43,200.0,72.17,760.0,14434.6,53.34,440.9,10667.18,-0.856187101018599,-0.1574099932386883,2
44,11450.0,2789.4800000000005,57983.0,1119468.4499999997,1979.1200000000001,25241.525,864194.9900000001,-0.5365870640625446,-0.16107335177785,2
45,550.0,188.54,5456.0,103698.93,126.56,1212.475,69607.89,-0.8402102354227675,-0.15617591409186354,2
46,700.0,414.80999999999995,5026.0,96704.31,393.18,1543.15,91740.81,-0.831256538085232,-0.1594550013159867,2
47,57100.0,11369.009999999997,9139350.0,9186947.620000001,8678.669999999998,125876.9502,6839320.75,2.029603668122179,5.082847347480124,0
48,2025.0,1437.23,10022.0,192987.44999999998,574.28,4464.1125,65212.080000000016,-0.7995558370146629,-0.1618249535391408,2
49,100.0,231.72,1205.0,23172.39,141.67,220.45,14166.88,-0.8540019475126305,-0.15826313934584332,2
50,5000.0,229.95,30250.0,574880.0,155.03,11022.5,387579.25,-0.7329927305458729,-0.14718187101369987,2
51,150.0,846.22,1621.5,31414.229999999996,422.18999999999994,330.67499999999995,16410.39,-0.8432353265048477,-0.1622558699034811,2
52,3875.0,2933.7300000000005,258727.5,258727.5,2418.1199999999994,8542.4375,231140.8699999999,-0.694911780494736,-0.03481070868294161,2
54,250.0,90.76,1175.0,22691.13,56.49,551.125,14121.73,-0.8546245790882233,-0.15730093398816755,2
55,75.0,58.27,228.75,4370.45,31.17,165.3375,2338.07,-0.8593873156982106,-0.1573736865502831,2
56,796.0,1238.5900000000001,192601.34,192601.34,575.04,1754.7819999999997,92260.34,-0.7953907105579406,-0.05199336244462692,2
57,4625.0,1176.1900000000005,22065.75,421644.1499999999,991.23,10195.8125,360730.51000000007,-0.7280460012547363,-0.16117064614184848,2
58,1000.0,89.38,2310.0,44690.5,67.98,2204.5,33994.4,-0.8423403495267175,-0.15742113704167615,2
59,950.0,182.3,4512.5,86595.83,0.0,2094.275,0.0,-0.8433930095044488,-0.15530755487727047,2
60,153058.0,13795.439999999997,766283.47,14785535.939999996,10008.960000000001,337416.35480000015,16272423.650000004,3.4021774379155336,-0.09100595626266389,3
61,1620.0,767.25,8336.8,161510.80000000002,627.78,3571.2900000000004,119620.48000000001,-0.8075529497113777,-0.16109261920236737,2
62,5500.0,304.84999999999997,13020.0,247080.35,205.42000000000002,12124.75,204332.26,-0.7577370326209991,-0.15751850398595782,2
63,625.0,825.12,46887.0,46887.0,581.8399999999999,1377.8124999999998,33559.21,-0.828426769328531,-0.1367613514727678,2
64,45950.0,1306.0000000000002,119674.0,2297823.07,1097.2999999999997,101296.77500000001,1842962.25,0.010367471239459065,-0.14661782874680526,2
65,18923.0,65142.96999999999,255296.98000000004,4933959.509999997,38996.74000000001,41715.75349999998,2966755.0400000005,1.013312582631093,-0.5391183433812478,2
66,88201.0,43891.08999999999,574442.86,11071419.439999994,28371.83000000002,194439.10320000016,7883781.429999997,2.2598967882544465,-0.2882162543212986,3
67,1925.0,397.09000000000003,9890.0,192496.49,288.12,4243.6625,139230.13,-0.808573775879683,-0.15693578937372912,2
68,525.0,1594.2600000000002,7033.25,135245.62,1062.47,1157.3625,90221.43000000001,-0.8113941168864027,-0.16678435648617299,2
69,18727.0,1810.21,79492.0,1445223.55,1445.2,41283.6715,1022176.75,-0.4312142562814171,-0.14699637163645157,2
70,75.0,3615.01,4713.75,90375.0,1947.63,165.33749999999998,48691.05,-0.7919581139525095,-0.1810984889044982,2
71,73875.0,3928.830000000001,404738.75,7808760.32,3642.650000000002,162857.43619999997,7274396.42,1.1463778965849118,-0.07379493161044705,2
72,25825.0,25414.6,181231.99999999997,3501399.1900000013,19653.82,56931.21250000002,2485136.6299999994,0.3516071116764701,-0.3092143545967414,2
73,675.0,888.5500000000001,119954.25,119954.25,764.7,1488.0375,103156.01000000001,-0.8079460414098993,-0.09536761832238215,2
74,60.0,671.93,2131.8,40315.75,197.78,132.27,11866.69,-0.8489015425199717,-0.15969154139728803,2
75,15972.0,1124.27,230635.68,4503784.67,594.56,35210.273499999996,2374058.94,-0.2105736320273292,-0.05015467128451211,2
76,275.0,2354.0699999999997,6436.5,124251.16,1469.89,606.2375000000001,77568.85999999999,-0.8035243544396028,-0.17240813563234522,2
77,50966.0,1728.81,163032.04,3134986.71,1388.0900000000001,112354.547,2505100.96,0.17877636808138356,-0.1332150727627748,2
78,150.0,893.98,27149.5,27149.5,742.73,330.675,21713.479999999996,-0.835513759528999,-0.1493329270150999,2
79,2000.0,401.22,14270.0,274560.41000000003,292.93,4409.0,183106.59999999998,-0.7995763528810661,-0.15462777300839656,2
80,75.0,4648.179999999999,6083.9400000000005,116204.25,410.09,165.33749999999998,10252.1,-0.8050260360992126,-0.1744256089873196,2
81,50.0,135.98,357.0,6798.92,56.49,110.225,2824.35,-0.8584638356990723,-0.15774381615617764,2
82,525.0,2162.52,8505.0,162059.06000000003,1338.9799999999998,1157.3625,100577.55,-0.8000697075286356,-0.16991650590017365,2
84,50.0,238.95,617.5,11947.33,162.15,110.225,8107.45,-0.855371682524527,-0.15870199821969252,2
85,30423.0,21322.27000000001,223856.88,4314800.020000002,10368.779999999997,67067.50370000003,2263455.1500000004,0.2716669362384069,-0.2063032357191353,2
86,71914.0,11701.66,346191.85000000003,6642927.1899999995,9025.71,158534.413,5658185.560000001,1.0769325389408502,-0.15425416673666423,2
87,250.0,136.35000000000002,1700.0,10906.57,170.01,551.125,21340.45,-0.8526131911734044,-0.1580377715103335,2
